BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Marti2015-MARGTH,2015,"General Terms, Hybrid Theories and Ambiguitiy. A Discussion of Some Experimental Results","Marti, Genoveva",NA,Advances in Experimental Philosophy of Language,INCOLLECTION,NA,,Bloomsbury Academic
Alexander2013-ALEATN-3,2013,Accentuate the Negative,"Alexander, Joshua, Mallon, Ronald, Weinberg, Jonathan M.",NA,Experimental Philosophy: Volume 2,INCOLLECTION,NA,,Oxford University Press USA
Deery2015-DEETFI,2015,The Free-Will Intuitions Scale and the Question of Natural Compatibilism,"Deery, Oisín, Davis, Taylor, Carey, Jasmine",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2014.893868,,NA
Danks2013-DANDC,2013,Demoralizing Causation,"Danks, David, Rose, David, Machery, Edouard",Philosophical Studies,NA,ARTICLE,10.1007/s11098-013-0266-8,,NA
Nado2015-NADPEA,2015,Philosophical Expertise and Scientific Expertise,"Nado, Jennifer Ellen",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2014.961186,,Digital Commons ? Lingnan University
Liao2014-LIAEII,2014,Empirically Investigating Imaginative Resistance,"Liao, Shen{-}yi, Strohminger, Nina, Sripada, Chandra Sekhar",British Journal of Aesthetics,NA,ARTICLE,10.1093/aesthj/ayu027,,Oxford University Press
Theriault2014-THETAI-3,2014,Taking an 'Intentional Stance' on Moral Psychology,"Theriault, Jordan, Young, Liane",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Huebner2015-HUEWIA-2,2015,What is a Philosophical Effect? Models of Data in Experimental Philosophy,"Huebner, Bryce",Philosophical Studies,NA,ARTICLE,10.1007/s11098-015-0469-2,,Springer Netherlands
Nancekivell2013-NANYCU-2,2013,Young Children's Understanding of Ownership,"Nancekivell, Shaylene E., de Vondervoort, Julia W. Van, Friedman, Ori",Child Development Perspectives,NA,ARTICLE,10.1111/cdep.12049,,NA
Fischer2014-FISPKE,2014,Paradox-Psychologie: Kognitive Epistemologie Und Philosophische Problemaufloesung,"Fischer, Eugen",NA,Die Experimentelle Philosophie in der Diskussion,INCOLLECTION,NA,,Suhrkamp
Shepherd2015-SHECFW,2015,"Consciousness, Free Will, and Moral Responsibility: Taking the Folk Seriously","Shepherd, Joshua",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2014.962018,,NA
Mizumoto2015-MIZECO,2015,External Critiques of Experimental Philosophy: Foreword,"Mizumoto, Masaharu",Annals of the Japan Association for Philosophy of Science,NA,ARTICLE,10.4288/jafpos.23.0\_19,,J-Stage
Ludwig2013-LUDLMI,2013,Methods in Analytic Epistemology,"Ludwig, Kirk",NA,Philosophical Methodology: The Armchair or the Laboratory?,INCOLLECTION,NA,,Routledge
Kurthy2015-KURCAB,2015,"{[}Comment] a Brief Note on the Ambiguity of ?Ought?. Reply to Moti Mizrahi?s ?Ought, Can and Presupposition: An Experimental Study?.","Kurthy, Miklos, Lawford{-}Smith, Holly",Methode: Analytic Perspectives,NA,ARTICLE,NA,,NA
Tanyi2014-TANHTG,2014,How to Gauge Moral Intuitions? Prospects for a New Methodology,"Tanyi, Attila, Bruder, Martin",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Buckwalter2014-BUCPCD,2014,Phenomenal Consciousness Disembodied,"Buckwalter, Wesley, Phelan, Mark",NA,Advances in Experimental Philosophy of Mind,INCOLLECTION,NA,,Bloomsbury
Pohlhaus2015-POHDVP,2015,"Different Voices, Perfect Storms, and Asking Grandma What She Thinks: Situating Experimental Philosophy in Relation to Feminist Philosophy","Pohlhaus, Gaile",Feminist Philosophy Quarterly,NA,ARTICLE,10.5206/fpq/2015.1.3,,Scholarship?Western
Sytsma2015-SYTTTA,2015,The Theory and Practice of Experimental Philosophy,"Sytsma, Justin, Livengood, Jonathan",NA,NA,BOOK,NA,,Broadview Press
Nadelhoffer2013-NADTMT,2013,"The Mind, the Brain, and the Law","Nadelhoffer, Thomas, Gromet, Dena, Goodwin, Geoffrey, Nahmias, Eddy, Sripada, Chandra, Sinnott{-}Armstrong, Walter",NA,The Future of Punishment,INCOLLECTION,NA,,Oxford University Press USA
Colom2014-COLTLI-3,2014,The Long-Term Impact of Philosophy for Children: A Longitudinal Study,"Colom, Roberto, Moriyón, Félix Garcia, Magro, Carmen, Morilla, Elena",Analytic Teaching and Philosophical Praxis,NA,ARTICLE,NA,,NA
Machery2014-ONECCI,2014,Current Controversies in Experimental Philosophy,NA,NA,NA,BOOK,NA,,Routledge
Williamson2013-WILEPA-3,2013,"Experimental Philosophy: An Introduction. By Joshua Alexander. Polity Press, 2012, Pp. Vi+154, \pounds15.99. Isbn-13: 978-0745649184","Williamson, Timothy",Philosophy,NA,ARTICLE,10.1017/s0031819113000259,,NA
Buckwalter2013-BUCGAP-3,2013,Gender and Philosophical Intuition,"Buckwalter, Wesley, Stich, Stephen",NA,Experimental Philosophy: Volume 2,INCOLLECTION,NA,,Oxford University Press USA
Strohminger2015-STRNAI,2015,Neurodegeneration and Identity,"Strohminger, Nina, Nichols, Shaun",Psychological Science,NA,ARTICLE,10.1177/0956797615592381.,,Sage Publications
Culjak2013-ULJKAA,2013,Knowledge Attributions and the Psychology of Reasoning: A Case Against Contextualism,"Čuljak, Zvonimir, Sekulić, Dragana",Prolegomena,NA,ARTICLE,NA,,Society for the Advancement of Philosophy ; University of Zagreb ? Croatian Studies
Beebe2013-BEEAKE,2013,A Knobe Effect for Belief Ascriptions,"Beebe, James R.",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0132-9,,Springer Verlag
Turri2015-TUREOF,2015,Evidence of Factive Norms of Belief and Decision,"Turri, John",Synthese,NA,ARTICLE,10.1007/s11229-015-0727-z,,Springer Nature
Lisciandra2013-LISCAS,2013,Conformorality. A Study on Group Conditioning of Normative Judgment,"Lisciandra, Chiara, Postma{-}Nilsenová, Marie, Colombo, Matteo",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-013-0161-4,,Springer Verlag
Bluhm2014-BLUEMO,2014,Empirical Methods of Linguistics in Philosophy,"Bluhm, Roland",The Reasoner,NA,ARTICLE,NA,,NA
Han2014-HANIEB-2,2014,Improving Epistemological Beliefs and Moral Judgment Through an Sts-Based Science Ethics Education Program,"Han, Hyemin, Jeong, Changwoo",Science and Engineering Ethics,NA,ARTICLE,10.1007/s11948-013-9429-4,,Springer Verlag
Simackova2014-IMKEFO,2014,Experimentální Filosofie o Otázce Kompatibility Svobodné Vůle s Determinismem,"Šimáv{c}ková, Kateřina",Pro-Fil,NA,ARTICLE,10.5817/pf15-3-997,,NA
Talbot2013-TALRIP,2013,Reforming Intuition Pumps: When Are the Old Ways the Best?,"Talbot, Brian",Philosophical Studies,NA,ARTICLE,10.1007/s11098-012-9949-9,,Springer Verlag
Stich2015-STIWIE,2015,What is Experimental Philosophy?,"Stich, Stephen",Annals of the Japan Association for Philosophy of Science,NA,ARTICLE,10.4288/jafpos.23.0\_21,,J-Stage
Nair-Collins2015-NAIMEO,2015,Moral Evaluations of Organ Transplantation Influence Judgments of Death and Causation,"Nair{-}Collins, Michael, Gerend, Mary A.",Neuroethics,NA,ARTICLE,10.1007/s12152-015-9239-2,,Springer Verlag
Wright2013-WRITMG,2013,The Meta-Ethical Grounding of Our Moral Beliefs: Evidence for Meta-Ethical Pluralism,"Wright, Jennifer C., Grandjean, Piper T., McWhite, Cullen B.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.633751,,NA
Fischer2015-FISIAI-2,2015,Intuitions and Illusions: From Explanation and Experiment to Assessment,"Fischer, Eugen, Engelhardt, Paul E., Herbelot, Aurelie",NA,"Experimental Philosophy, Rationalism, and Naturalism: Rethinking Philosophical Method",INCOLLECTION,NA,,Routledge
Sytsma2014-SYTAOC,2014,Attributions of Consciousness,"Sytsma, Justin",WIREs Cognitive Science,NA,ARTICLE,NA,,NA
DeCruz2013-DECRAE,2013,Reformed and Evolutionary Epistemology and the Noetic Effects of Sin,"Cruz, Helen De, Smedt, Johan De",International Journal for Philosophy of Religion,NA,ARTICLE,10.1007/s11153-012-9368-z,,Springer Verlag
Dworazik2014-DWOABH,2014,A Brief History of Experimental Ethics,"Dworazik, Niklas, Rusch, Hannes",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Fitz2013-FITPAT-4,2013,Public Attitudes Toward Cognitive Enhancement,"Fitz, Nicholas, Nadler, Roland, Manogaran, Praveena, Chong, Eugene, Reiner, Peter",Neuroethics,NA,ARTICLE,10.1007/s12152-013-9190-z,,Springer Verlag
Tobia2015-TOBPIA,2015,Personal Identity and the Phineas Gage Effect,"Tobia, Kevin P.",Analysis,NA,ARTICLE,10.1093/analys/anv041,,NA
Brown2013-BROCDA-3,2013,Cognitive Diversity and Epistemic Norms,"Brown, Jessica",Philosophical Issues,NA,ARTICLE,10.1111/phis.12017,,NA
Hannon2015-HANTUC,2015,The Universal Core of Knowledge,"Hannon, Michael",Synthese,NA,ARTICLE,10.1007/s11229-014-0587-y,,Springer Netherlands
Vaidya2015-VAIPPC,2015,Public Philosophy: Cross-Cultural and Multi-Disciplinary,"Vaidya, Anand Jayprakash",NA,NA,UNPUBLISHED,NA,,Sjsu Scholarworks
Vetter2014-VETDWC,2014,Dispositions Without Conditionals,"Vetter, Barbara",Mind,NA,ARTICLE,10.1093/mind/fzu032,,NA
Seyedsayamdost2015-SEYONA-2,2015,On Normativity and Epistemic Intuitions: Failure of Replication,"Seyedsayamdost, Hamid",Episteme,NA,ARTICLE,10.1017/epi.2014.27,,NA
Young2013-YOUMRA,2013,Moral Realism as Moral Motivation: The Impact of Meta-Ethics on Everyday Decision-Making,"Young, Liane, Durwin, A. J.",Journal of Experimental Social Psychology,NA,ARTICLE,NA,,NA
Pantsar2015-PANATE,2015,Assessing the ?Empirical Philosophy of Mathematics?,"Pantsar, Markus",Discipline Filosofiche,NA,ARTICLE,NA,,NA
Sullivan2014-SULCRS,2014,Can Real Social Epistemic Networks Deliver the Wisdom of Crowds?,"Sullivan, Emily, Sondag, Max, Rutter, Ignaz, Meulemans, Wouter, Cunningham, Scott, Speckmann, Bettina, Alfano, Mark",NA,"Oxford Studies in Experimental Philosophy, Volume 1",INCOLLECTION,NA,,Oxford University Press UK
Mukerji2014-MUKIEA,2014,"Intuitions, Experiments, and Armchairs","Mukerji, Nikil",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Ichikawa2013-ICHEPA-2,2013,Experimental Philosophy and Apriority,"Ichikawa, Jonathan Jenkins",NA,The a Priori in Philosophy,INCOLLECTION,NA,,Oxford University Press UK
Sytsma2013-SYTTRO-2,2013,The Robots of the Dawn of Experimental Philosophy of Mind,"Sytsma, Justin",NA,NA,UNPUBLISHED,NA,,NA
Alexander2014-ALETCO-14,2014,The Challenge of Sticking with Intuitions Through Thick and Thin,"Alexander, Joshua, Weinberg, Jonathan M.",NA,Intuitions,INCOLLECTION,NA,,Oxford University Press UK
Flanagan2014-FLARTK,2014,Rereading the Kripkean Intuition on Reference,"Flanagan, Brian",Metaphilosophy,NA,ARTICLE,10.1111/meta.12066,,Wiley-Blackwell
Strickland2014-STRSAI,2014,Syntax and Intentionality: An Automatic Link Between Language and Theory-of-Mind,"Strickland, Brent, Fisher, Matthew, Keil, Frank, Knobe, Joshua",Cognition,NA,ARTICLE,10.1016/j.cognition.2014.05.021,,NA
Aguiar2014-AGUFEY,2014,Filosofía Experimental y Economía Experimental: Un Enfoque Híbrido,"Aguiar, Fernando, Gaitán, Antonio, López, Blanca Rodríguez",Isegoría,NA,ARTICLE,10.3989/isegoria.2014.051.05,,NA
Schwitzgebel2014-SCHTMB-4,2014,"The Moral Behavior of Ethics Professors: Relationships Among Self-Reported Behavior, Expressed Normative Attitude, and Directly Observed Behavior","Schwitzgebel, Eric, Rust, Joshua",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.727135,,Taylor \& Francis
Shaffer2014-SHATET-3,2014,The Experimental Turn and the Methods of Philosophy,"Shaffer, Michael J.",NA,NA,BOOK,NA,,Routledge
Tonin2014-TONAEI,2014,An Experimental Investigation of Intrinsic Motivations for Giving,"Tonin, Mirco, Vlassopoulos, Michael",Theory and Decision,NA,ARTICLE,10.1007/s11238-013-9360-9,,Springer Us
Delon2013-DELPUT-2,2013,Pour Une Éthique Animale Descriptive,"Delon, Nicolas",Klesis,NA,ARTICLE,NA,,NA
Hicks2015-HICTLG,2015,The Logic Game: A Two-Player Game of Propositional Logic,"Hicks, Daniel J., Milanese, John",Teaching Philosophy,NA,ARTICLE,10.5840/teachphil20151731,,NA
RosemontJr2014-ROSSDT-2,2014,Symposium: Does the Concept of ?Truth? Have Value in the Pursuit of Cross-Cultural Philosophy?,"Jr, Rosemont, Maffie, James, Maraldo, John, Thakchoe, Sonam","IsFrontMatter: put either 1 or 0: 1 if this is not an article but a ""front matter"" type of entry, e.g. a list of books received, 0 otherwise",NA,ARTICLE,NA,,NA
Draper2013-DRADBI,2013,Diagnosing Bias in Philosophy of Religion,"Draper, Paul, Nichols, Ryan",The Monist,NA,ARTICLE,10.5840/monist201396319,,The Hegeler Institute
Turri2014-TURWAL,2014,Winners and Losers in the Folk Epistemology of Lotteries,"Turri, John, Friedman, Ori",NA,Advances in Experimental Epistemology,INCOLLECTION,NA,,Bloomsbury Academic
Haug2013-HAUNEO,2013,Philosophical Methodology: The Armchair or the Laboratory?,NA,NA,NA,BOOK,NA,,Routledge
Pereira2015-PEROAL,2015,Occipital and Left Temporal Eeg Correlates of Phenomenal Consciousness,"Pereira, Vitor Manuel Dinis",NA,"Emerging Trends in Computational Biology, Bioinformatics, and Systems Biology",INCOLLECTION,NA,,Elsevier
Kauppinen2013-KAUEAE,2013,Ethics and Empirical Psychology,"Kauppinen, Antti",NA,Empirically Informed Ethics,INCOLLECTION,NA,,Springer
Buckwalter2014-BUCGME,2014,Gettier Made Esee,"Buckwalter, Wesley",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2012.730965,,Taylor \& Francis
Manley2013-DUNTFP,2013,The Folk Probably Do Think What You Think They Think,"Manley, David, Dunaway, Billy, Edmonds, Anna",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048402.2012.724430,,Taylor \& Francis Group
Talbot2014-TALWSN,2014,Why so Negative? Evidence Aggregation and Armchair Philosophy,"Talbot, Brian",Synthese,NA,ARTICLE,10.1007/s11229-014-0509-z,,Springer Verlag
Polzler2015-PLZMJA,2015,Moral Judgments and Emotions: A Less Intimate Relationship Than Recently Claimed,"Pölzler, Thomas",Journal of Theoretical and Philosophical Psychology,NA,ARTICLE,10.1037/teo0000022,,NA
Robinson2015-ROBRTS-9,2015,Reversing the Side-Effect Effect: The Power of Salient Norms,"Robinson, Brian, Stey, Paul, Alfano, Mark",Philosophical Studies,NA,ARTICLE,10.1007/s11098-014-0283-2,,Springer Netherlands
Turri2015-TURKAT-3,2015,Knowledge and the Norm of Assertion: A Simple Test,"Turri, John",Synthese,NA,ARTICLE,10.1007/s11229-014-0573-4,,Springer Netherlands
Pinillos2014-PINEEI,2014,Experimental Evidence in Support of Anti-Intellectualism About Knowledge,"Pinillos, Ángel, Simpson, Shawn",NA,Advances in Experimental Epistemology,INCOLLECTION,NA,,Bloomsbury Academic
Capaldi2014-CAPTRB-2,2014,The Relationship Between Nature Connectedness and Happiness: A Meta-Analysis,"Capaldi, Colin A., Dopko, Raelyne L., Zelenski, John M.",Frontiers in Psychology,NA,ARTICLE,10.3389/fpsyg.2014.00976,,NA
Fischer2015-FISEPR,2015,"Experimental Philosophy, Rationalism, and Naturalism: Rethinking Philosophical Method",NA,NA,NA,BOOK,NA,,Routledge
Fair2015-FAISIT-5,2015,Socrates in the Schools From Scotland to Texas: Replicating a Study on the Effects of a Philosophy for Children Program,"Fair, Frank, Haas, Lory E., Gardoski, Carol, Johnson, Daphne, Price, Debra, Leipnik, Olena",Journal of Philosophy in Schools,NA,ARTICLE,10.21913/jps.v2i1.1100,,NA
Chapman2013-CHAIDO-14,2013,In Defense of Intuitions: A New Rationalist Manifesto,"Chapman, Andrew, Ellis, Addison, Hanna, Robert, Pickford, Henry, Hildebrand, Tyler",NA,NA,BOOK,NA,,Palgrave MacMillan
White2015-WHIEPI-5,2015,Establishing Personal Identity in Reincarnation: Minds and Bodies Reconsidered,"White, Claire",Journal of Cognition and Culture,NA,ARTICLE,10.1163/15685373-12342158,,Brill Academic Publishers
Antonese2015-ANTUMJ,2015,Understanding Moral Judgments: The Role of the Agent?s Characteristics in Moral Evaluations,"Antonese, Emilia Alexandra",Symposion: Theoretical and Applied Inquiries in Philosophy and Social Sciences,NA,ARTICLE,10.5840/symposion20152211,,NA
Rusch2014-RUSPA-2,2014,Philosophy as the Behaviorist Views It?,"Rusch, Hannes",NA,Experimental Ethics: Toward an Empirical Moral Philosophy,INCOLLECTION,NA,,Palgrave-Macmillan
Colaco2014-COLEII-2,2014,Epistemic Intuitions in Fake-Barn Thought Experiments,"Colaço, David, Buckwalter, Wesley, Stich, Stephen, Machery, Edouard",Episteme,NA,ARTICLE,10.1017/epi.2014.7,,Edinburgh University Press
Phelan2014-PHEEPA-2,2014,Experimental Pragmatics: An Introduction for Philosophers,"Phelan, Mark",Philosophy Compass,NA,ARTICLE,10.1111/phc3.12093,,Wiley-Blackwell
Buckwalter2014-BUCFVA,2014,Factive Verbs and Protagonist Projection,"Buckwalter, Wesley",Episteme,NA,ARTICLE,10.1017/epi.2014.22,,NA
Huang2013-HUATEI-3,2013,Tolerance Effect in Categorisation with Vague Predicates,"Huang, Minyao",Pragmatics and Cognition,NA,ARTICLE,10.1075/pc.21.2.05hua,,NA
Yilmaz2015-YILWGE,2015,"Without God, Everything is Permitted? The Reciprocal Influence of Religious and Meta-Ethical Beliefs","Yilmaz, Onurcan",Journal of Experimental Social Psychology,NA,ARTICLE,NA,,NA
Cardinale2014-CARTMS-6,2014,The Moral Status of an Action Influences its Perceived Intentional Status in Adolescents with Psychopathic Traits,"Cardinale, Elise, Finger, Elizabeth, Schechter, Julia, Jurkowitz, Ilana, Blair, R. J. R., Marsh, Abigail",NA,"Oxford Studies in Experimental Philosophy, Volume 1",INCOLLECTION,NA,,Oxford University Press UK
Reggia2015-REGBCT,2015,Beliefs Concerning the Nature of Consciousness,"Reggia, J. A., Huang, D. W., Katz, G.",Journal of Consciousness Studies,NA,ARTICLE,NA,,NA
